Parameter,Cars,Notes
Min Loan Amount (₹),,"Lowest loan amount you'll process"
Max Loan Amount (₹),,"Highest loan amount"
Min Tenure (months),,"Shortest tenure offered"
Max Tenure (months),,"Usually 84 (7 years)"
Min LTV (%),,""
Max LTV (%),,""
Max FOIR (%),,"(Existing EMIs + Proposed EMI) ÷ Net Salary"
Max DBR (%),,""
Min CIBIL Score — Approve,,"Score above this = clean"
Min CIBIL Score — Maybe,,"Between this and Approve = grey zone"
Below this CIBIL — Reject,,"Score below this = auto reject"
Max DPD allowed (last 12 months),,"e.g. 0 / 30 / 60"
Max DPD allowed (last 24 months),,""
Max bureau enquiries (last 90 days),,"e.g. 3 / 5"
Max active loans allowed,,""
Max writeoff/settled accounts allowed,,"Usually 0"
Min Net Salary (₹),,"Minimum monthly in-hand salary"
Variable Income — Eligible %,,"e.g. 50% of avg last 6 months"
Min Customer Age (years),,""
Max Customer Age at loan maturity (years),,"e.g. 60 / 65"
Standard Rate of Interest (% p.a.),,"Clean file rate"
Risk-Adjusted Rate — Maybe cases (% p.a.),,"Rate if Maybe → approved after review"
Processing Fee (%),,"e.g. 1% / 2% / flat"
Min Down Payment (%),,"100% minus Max LTV"
Max Bounce Tolerance (last 6 months),,"Bank statement bounces allowed"
Max Cash Deposit Ratio (%),,"High cash deposits = risk flag"
Min Avg Monthly Balance (₹),,"Bank statement health check"
EMIs ending in 2-3 months — Exclude from FOIR?,,Yes / No
Gross or Net salary for FOIR denominator?,,Gross / Net
